FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,IMAGEURL
Jason DeLucia,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",http://ufcstats.com/fighter-details/6ceff86fae4f6b3b,
Justin DeMoney,--,170 lbs.,--,,"Jul 01, 1985",http://ufcstats.com/fighter-details/985bca5a097fb3f4,
Vanessa Demopoulos,"5' 2""",125 lbs.,"59""",Orthodox,"Sep 22, 1988",http://ufcstats.com/fighter-details/2c483cf443f38ece,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/DEMOPOLOUS_VANESSA_L_05-20.png?itok=h44POAnl
Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",http://ufcstats.com/fighter-details/dfae5da5676e4194,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8ee69b3d-627a-418c-bfcc-41997c8726dd%252FChris-Dempsey_492799_LeftFullBodyImage.png?itok=DZbgPbfR
Nick Denis,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983",http://ufcstats.com/fighter-details/e4aaaa34535e32b6,
Thomas Denny,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",http://ufcstats.com/fighter-details/a11a6ee8eeb03c18,
Robert Densley,"5' 9""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/b72f3cafa6376e35,
Jason Dent,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",http://ufcstats.com/fighter-details/fa8b9e6b0c2269f8,
Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",http://ufcstats.com/fighter-details/7447e9f28508106a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/DERN_MACKENZIE_L_11-11.png?itok=RaUeF5A-
Booker DeRousse,"6' 2""",205 lbs.,--,,"Mar 23, 1981",http://ufcstats.com/fighter-details/f2c91b67f71bbeab,
Tony DeSouza,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",http://ufcstats.com/fighter-details/6ad9058b7c7898b0,
Cory Devela,"5' 0""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/48544433372ecfa6,
John Devine,--,--,--,,--,http://ufcstats.com/fighter-details/2bcc39af95d6f2e8,
Edwin DeWees,"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",http://ufcstats.com/fighter-details/75bbd2206a15319f,
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",http://ufcstats.com/fighter-details/77d7295d1b22c694,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/67203%252Fprofile-galery%252Ffullbodyleft-picture%252FDI_CHIRICO_ALESSIO_L_08-28.png?itok=G7NGkD_D
Micol Di Segni,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",http://ufcstats.com/fighter-details/8126e4dff0cdf69e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/92f45fe9-db88-4d5f-afdb-79929818f60e%252FDI_SEGNI_MICOL_R.png?itok=XIoYFuaS
Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",http://ufcstats.com/fighter-details/43563a32c3f10e95,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ec022d17-caec-4d0a-8ca6-92f8786d2d4d%252FCyrille-Diabate_1162_LeftFullBodyImage.png?itok=YJr0cfJ3
Thomas Diagne,"6' 1""",154 lbs.,--,,"Sep 03, 1983",http://ufcstats.com/fighter-details/8567466ae167216b,
Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",http://ufcstats.com/fighter-details/32c355b04fc57f3a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/DIAKIESE_MARC_L_07-22.png?itok=yXsZPE3c
Tyler Diamond,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",http://ufcstats.com/fighter-details/f5f6419c5f00abad,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/DIAMOND_TYLER_L_0.png?VersionId=FmIMiLzMM0N7mQv5g4qrU2RrQzq_Bp0f&itok=t0VzNjGN
Blood Diamond,"5' 11""",170 lbs.,"73""",Switch,"Jul 10, 1988",http://ufcstats.com/fighter-details/9edf2c9082cc2cd8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/DIAMOND_BLOOD_L_02-12.png?itok=5XZgXfJI
Eldo Xavier Dias,"5' 11""",180 lbs.,--,,"Jul 16, 1964",http://ufcstats.com/fighter-details/ee5df903f80c6816,
Rafael Dias,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979",http://ufcstats.com/fighter-details/b5abaa65f87938eb,
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",http://ufcstats.com/fighter-details/ed209f6618c82e41,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e238df05-0501-48b3-813c-3538169ba222%252FHacran-Dias_267088_LeftFullBodyImage.png?itok=RxH7yEcs
Nick Diaz,"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",http://ufcstats.com/fighter-details/f57a8a52ca401ed9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/68907%252Fprofile-galery%252Ffullbodyleft-picture%252FDIAZ_NICK_L_09-25.png?itok=BKjybtEW
Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",http://ufcstats.com/fighter-details/8355922d564b152c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/DIAZ_NATE_L_09-10.png?itok=FC69VI8H
Michael Diaz,--,260 lbs.,--,,--,http://ufcstats.com/fighter-details/5e7a48e469770615,
Ryan Diaz,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/ceee5dd37253199a,
Adrian Diaz,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988",http://ufcstats.com/fighter-details/bfa8f263815cfa2e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Adrian-Diaz_635984_LeftFullBodyImage.png?itok=UMuh_Ls-
Mark Dickman,"5' 9""",145 lbs.,--,,"Jul 19, 1984",http://ufcstats.com/fighter-details/2482ef3331a82e75,
Josh Diekmann,"5' 4""",246 lbs.,--,,"Oct 09, 1976",http://ufcstats.com/fighter-details/414bddf0c80c41e1,
Kyle Dietz,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986",http://ufcstats.com/fighter-details/31da66df48c0c1a0,
Seth Dikun,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",http://ufcstats.com/fighter-details/eb42d4febfafefd1,
TJ Dillashaw,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",http://ufcstats.com/fighter-details/c849740a3ff51931,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/DILLASHAW_TJ_L_07-24.png?itok=iWWWrBlv
Ralph Dillon,"6' 2""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/b4f7a2d8ecc5e0c3,
Drew Dimanlig,--,185 lbs.,--,,--,http://ufcstats.com/fighter-details/cc2ad11b1f9d818b,
Rodolfo Marques Diniz,"5' 6""",135 lbs.,--,,"Jan 23, 1984",http://ufcstats.com/fighter-details/2d2239d0f6fa83dd,
Helio Dipp,"6' 5""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/73eb2a552c92a821,
Rico DiSciullo,"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986",http://ufcstats.com/fighter-details/ec7f7263bf36579b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Rico_Disciullo/DISCIULLO_RICO_R.png?VersionId=5jy8zm7SC0aArTujN0wybO_gTVeL6APx&itok=f9bVzp1y
Matt Dixon,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",http://ufcstats.com/fighter-details/1db445a4468447d0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/f2bcb6dc-b393-4fde-8a41-3d3d4ffbc0bd%252FDIXON_MATT_R.png?itok=2lQLYQzm
John Dixson,"6' 0""",275 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/ad4e9055bf8cd04d,
Anthony Do,"5' 4""",125 lbs.,--,,--,http://ufcstats.com/fighter-details/7c9aeba0c4d4bd78,
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",http://ufcstats.com/fighter-details/f50d95223751e6ca,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/a190bd2c-5052-483e-9fe3-20b3a077bad2%252FRussell-Doane_464803_LeftFullBodyImage.png?itok=aisofevI
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",http://ufcstats.com/fighter-details/519e4fe37ce9ff75,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/DOBER_DREW_L_10-07.png?itok=S1wgsmy3
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",http://ufcstats.com/fighter-details/122ac9b816d8b71c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-02/DOBSON_SHANA_L.png?VersionId=Y4M4ba4Qt86pGNmPnStWNSberc4.46j5&itok=EvsUzqk7
AJ Dobson,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",http://ufcstats.com/fighter-details/009c4420727149ea,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-02/52c46833-d01d-4fe6-9885-840013701587%252FDOBSON_AJ_L_02-12.png?itok=c5QG_M6Y
David Dodd,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",http://ufcstats.com/fighter-details/c2a7623f398d9bd7,
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",http://ufcstats.com/fighter-details/99506df1af6c8b3b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-08/DODSON_JOHN_L_02-15.png?VersionId=Rtqs4QfMBwRQcvens1VOeY7SsiXJg1nt&itok=kEAYwUiK
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",http://ufcstats.com/fighter-details/dbaaf42313af90fa,
Mike Dolce,"5' 11""",185 lbs.,--,,"Apr 15, 1976",http://ufcstats.com/fighter-details/29b5791e51e7e832,
Roman Dolidze,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",http://ufcstats.com/fighter-details/327d5f279895110d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/DOLIDZE_ROMAN_L_02-03.png?itok=WAOnQkrD
Cameron Dollar,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987",http://ufcstats.com/fighter-details/3bbcd63a016d9715,
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",http://ufcstats.com/fighter-details/5d7bdab5e03e3216,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/fd582f2a-5abd-44dc-bd2e-ced6a29ddf19%252FCB-Dollaway_924_LeftFullBodyImage.png?itok=GkyTQbBF
Dennis Dombrow,--,145 lbs.,--,,"Mar 17, 1986",http://ufcstats.com/fighter-details/4145caa2c999fbac,
OJ Dominguez,--,--,--,,--,http://ufcstats.com/fighter-details/1a50e734bb54861a,
John Donaldson,"5' 8""",145 lbs.,--,,"Jul 09, 1992",http://ufcstats.com/fighter-details/1c610f900f9884ab,
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",http://ufcstats.com/fighter-details/7bc96507e4b38d3b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/d9124aeb-f195-4a88-955a-327aa9295263%252FCody-Donovan_296290_LeftFullBodyImage.png?itok=_gqUxn-O
Houston Dorr,"6' 1""",210 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/312f47c3d2f83ffa,
Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",http://ufcstats.com/fighter-details/6a2f7c151031653d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/DOS_ANJOS_RAFAEL_L_12-03.png?itok=sHYXF1d1
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",http://ufcstats.com/fighter-details/63def5a5662a6917,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-08/DOS_SANTOS_JUNIOR_L_03-09.png?VersionId=FV0ISk3jO2pkHaoi4wQOs8PSC3.vFs3c&itok=SvLFsyXQ
Geronimo dos Santos,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980",http://ufcstats.com/fighter-details/b51f6791c794e289,
Antonio Dos Santos,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988",http://ufcstats.com/fighter-details/81b8b3fb019dc69d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/62ac6e16-ac2f-4111-90f7-fd457645ada6%252Fantonio-dos-santos_514248_LeftFullBodyImage.png?itok=HM37x41E
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",http://ufcstats.com/fighter-details/bbc9ab95fa766493,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/DOS_SANTOS_ANDERSON_L_07-17.png?itok=l0DebhCS
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",http://ufcstats.com/fighter-details/8ce87f7e3a9baed2,
Oleksandr Doskalchuk,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",http://ufcstats.com/fighter-details/86cb6f5b1ca98dc0,
David Douglas,"5' 11""",155 lbs.,--,,"Aug 16, 1981",http://ufcstats.com/fighter-details/7cf0944b88966118,
Damion Douglas,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/ce3b669e39418414,
John Dowdy,--,--,--,,--,http://ufcstats.com/fighter-details/e780ccc79a209985,
Jordan Dowdy,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/0d9312337fdce39a,
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",http://ufcstats.com/fighter-details/a66395395b5f1394,
Derek Downey,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",http://ufcstats.com/fighter-details/b05086131c6f5dc5,
John Doyle,"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976",http://ufcstats.com/fighter-details/0509b954421bb327,
Edson Drago,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",http://ufcstats.com/fighter-details/f9c7fe2682af3802,
Kyle Driscoll,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",http://ufcstats.com/fighter-details/e5e148d4363deff8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/47f78e1d-4a37-4cf4-a197-b605a3373b6b%252FDRISCOLL_KYLE_R.png?itok=MxkeaH1y
Chris Drumm,"5' 8""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/5fd834edd92c9e50,
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",http://ufcstats.com/fighter-details/679a9054e2815943,
Robert Drysdale,"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981",http://ufcstats.com/fighter-details/d2a9be6bf2de624c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/1028d3fb-7786-469b-ac3c-d0a8fd86a1eb%252Frobert-drysdale_336580_LeftFullBodyImage.png?itok=76R3J7oW
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/DU_PLESSUS_DRICUS_L_BELTMOCK.png?itok=Te4zddjX
Hugo Duarte,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",http://ufcstats.com/fighter-details/706404da0775dcbc,
Antonio Duarte,"5' 7""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/29b5d32584e02d8d,
Joe Duarte,--,155 lbs.,--,,"Jan 25, 1977",http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3,
Milana Dudieva,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",http://ufcstats.com/fighter-details/072a10e85f7d4bff,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-03/Milana-Dudieva_482623_LeftFullBodyImage.png?VersionId=BtDGkI7RslQs3ZbJUBP_7wBdvaqwNL8A&itok=fts8oSw1
Adin Duenas,"5' 6""",145 lbs.,--,,"Jul 02, 1988",http://ufcstats.com/fighter-details/cb6c45b26b0a877a,
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",http://ufcstats.com/fighter-details/bda04c573563cc2e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-09/DUFFEE_TODD_L.png?VersionId=U1vb0ETSLKWX3eoU1.c3uovXZFFl.FJG&itok=cju-RU1A
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",http://ufcstats.com/fighter-details/654ae722109a0d31,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-07/DUFFY_JOE_L_03-16.png?VersionId=m1mrpphjnpe9JSd.9y5bOoeYvpmC3Vjy&itok=3BSs2sUL
Alexis Dufresne,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",http://ufcstats.com/fighter-details/4ae4049426e0161d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alexis-Dufresne_479266_LeftFullBodyImage.png?itok=VYzwbW9_
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",http://ufcstats.com/fighter-details/a7ddae0be8b78147,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/a058340b-be39-4fe1-abf7-7576ae575a26%252FJessamyn-Duke_453489_LeftFullBodyImage.png?itok=QybZ4mth
Kelly Dullanty,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977",http://ufcstats.com/fighter-details/1a225f04aa6e0739,
Norma Dumont,"5' 7""",145 lbs.,"67""",Orthodox,"Oct 01, 1990",http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/DUMONT_NORMA_L_04-06.png?itok=hHfxrcNZ
Chris Duncan,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",http://ufcstats.com/fighter-details/fd406a32a6fb3a29,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/DUNCAN_CHRIS_L_07-22.png?itok=1a1RuZLS
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67929/profile-galery/fullbodyleft-picture/Evan-Dunham_1025_LeftFullBodyImage.png?itok=TP_YVLdN
Alex Dunworth,"5' 8""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/31732a614e7a3d1d,
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",http://ufcstats.com/fighter-details/e979c76341f19b22,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69397/profile-galery/fullbodyleft-picture/Tom-Duquesnoy_624585_LeftFullBodyImage.png?VersionId=1hW5ro2UwdTdjC_kxbNuM_b0Pz.CenkE&itok=-T_Yv5p-
Albert Duraev,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",http://ufcstats.com/fighter-details/6b7c7460855dbbb9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/DURAEV_ALBERT_L_07-15.png?itok=XuE8N1El
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",http://ufcstats.com/fighter-details/4417980b3e798abf,
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/DURDEN_CODY_L_08-05.png?itok=gQ67Rf0j
Luiz Dutra,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982",http://ufcstats.com/fighter-details/2153a7f8396a46cc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/54b2dd0c-28ec-4aac-aed8-2becd6282828%252FLuiz-Dutra_309057_LeftFullBodyImage.png?itok=mgG8Jf9_
Rilley Dutro,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987",http://ufcstats.com/fighter-details/43db649da89fac4b,
Bill Duvall,"6' 2""",185 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/7df4d3c38792b083,
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",http://ufcstats.com/fighter-details/c03520b5c88ed6b4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/DVALISHVILI_MERAB_L_02-17.png?itok=LGCFlt_5
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",http://ufcstats.com/fighter-details/9ada30894bf04e19,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/DVORAK_DAVID_L_06-10.png?itok=zWHwGCXR
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",http://ufcstats.com/fighter-details/8f0d576beba1cfcd,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/0535dcd7-34d1-4306-a257-d58c7400802f%252FMatt-Dwyer_490195_LeftFullBodyImage.png?itok=da31MHdz
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",http://ufcstats.com/fighter-details/55ed59d541f8b90c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69134/profile-galery/fullbodyleft-picture/Rolando-Dy_630706_LeftFullBodyImage.png?VersionId=.6_7i7cTapSlF7PUhtnMPGFUsN7sU8WV&itok=Vi5JOLG1
Ben Earwood,"5' 8""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,
Cody East,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",http://ufcstats.com/fighter-details/5713c1d2fac539ac,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/89f1416a-88f5-4825-b556-80a869408e91%252FCody-East_586491_LeftFullBodyImage.png?itok=uOwFdQUe
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",http://ufcstats.com/fighter-details/05866d8c3a321856,
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",http://ufcstats.com/fighter-details/bc7230f231701d66,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/1a9565be-6a64-4457-903b-eba30a619d92%252FMike-Easton_206145_LeftFullBodyImage.png?itok=6utROlsZ
Maurice Eazel,"5' 7""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/4acb99524a9a81ab,
Vincent Eazelle,"5' 11""",155 lbs.,--,,"Dec 07, 1980",http://ufcstats.com/fighter-details/ec421d5de0aea624,
Ross Ebanez,"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",http://ufcstats.com/fighter-details/a5b0bd216d8ba84e,
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",http://ufcstats.com/fighter-details/32ba186f4b0e3267,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/0d5bc2f0-5742-4ea4-b3a4-91230bd5e32a%252Fbrian-ebersole_118806_LeftFullBodyImage.png?itok=cPqPBbKg
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",http://ufcstats.com/fighter-details/40ff198adda94b9f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e77f437b-0a1d-4d7a-bfb8-68cadd3293d5%252FMark-Eddiva_471302_LeftFullBodyImage.png?itok=kuO3XNpR
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",http://ufcstats.com/fighter-details/f2688492b9a525a3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/67978%252Fprofile-galery%252Ffullbodyleft-picture%252FEDGAR_FRANKIE_L_11-06.png?itok=GirRfbaO
Abdul-Kerim Edilov,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",http://ufcstats.com/fighter-details/37e03538c960bac6,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67131/profile-galery/fullbodyleft-picture/abdul-kerim-edilov_572276_LeftFullBodyImage.png?VersionId=tu.SDql2VZDWJgzKg.kgkmMtCW2vqtSG&itok=aX6OQM5o
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",http://ufcstats.com/fighter-details/528c24b99fbaab79,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/Johnny-Eduardo_205617_LeftFullBodyImage.png?itok=2z4uh03W
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",http://ufcstats.com/fighter-details/5f04e3d58d9ce982,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69552/profile-galery/fullbodyleft-picture/Yves-Edwards_247_LeftFullBodyImage.png?VersionId=Fh7Duzrl041hDNxaXYQ0i9Uxas3i85dK&itok=1tbbzKJ7
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",http://ufcstats.com/fighter-details/e56daf7725a0b5ab,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/3c136bf9-5b11-45a9-bf76-0f0143fdec74%252FJustin-Edwards_144978_LeftFullBodyImage.png?itok=eho9hZgM
Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",http://ufcstats.com/fighter-details/f1fac969a1d70b08,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/EDWARDS_LEON_BELT_L_12-16.png?itok=RVcuzrpG
